Run,Model,Attack Intensity,Accuracy,Confidence
4,AU,0.25,0.0,10.200848579406738
4,AU,0.5,0.0,10.244030952453613
4,AU,1.0,0.0,10.642195701599121
4,AU,2.0,0.0,10.22455883026123
4,AU,4.0,0.0,11.228036880493164
4,AU,8.0,0.0,11.868464469909668
4,AA,0.0,0.7199999690055847,2.1007187366485596
4,AA,0.1,0.0,4.109631538391113
4,AA,0.25,0.009999999776482582,4.290134429931641
4,AA,0.5,0.0,4.158056735992432
4,AA,1.0,0.009999999776482582,4.2841339111328125
4,AA,2.0,0.0,4.101750373840332
4,AA,4.0,0.0,4.023618221282959
4,AA,8.0,0.0,4.1440653800964355
4,AN,0.0,0.6200000047683716,2.7557225227355957
